island,island_code,month,year,var_wsmean_ms,var_gustmax_ms,var_tmean_c,var_tdailymax_c,var_tmax_c,var_tdailymin_c,var_tmin_c,var_rhmean_perc,var_rhmax_perc,var_rhmin_perc,var_preciptot_inch
Santa Cruz,cz,Jul,2010,1.1,10.73,16.99,22.87,33.89,12.4,9.44,73.83,97,21,0
Santa Cruz,cz,Aug,2010,0.92,14.75,16.86,24.23,32.78,10.86,8.33,71.09,97,21,0
Santa Cruz,cz,Sep,2010,0.81,12.52,17.39,25.21,41.67,11.41,7.22,68.2,98,9,0
Santa Cruz,cz,Oct,2010,1.26,16.54,16.08,21.08,33.89,12.13,7.22,72.98,98,11,1.11
Santa Cruz,cz,Nov,2010,1.43,15.65,13.46,19.46,33.33,8.18,2.22,57.64,98,8,0.65
Santa Cruz,cz,Dec,2010,1.24,20.56,11.84,16.61,26.67,7.92,2.78,74.53,99,15,12.22
Santa Cruz,cz,Jan,2011,1.13,16.99,12.81,19.18,29.44,6.79,1.67,55.52,98,9,1.23
Santa Cruz,cz,Feb,2011,1.45,16.99,10.22,15.83,23.89,4.9,0.56,66.04,99,9,2.27
Santa Cruz,cz,Mar,2011,1.74,17.43,13.2,19.97,35,7.13,1.67,68.63,99,13,3.99
Santa Cruz,cz,Apr,2011,2.03,17.43,15.2,22.44,32.78,8.28,-0.56,61.06,98,8,0.02
Santa Cruz,cz,May,2011,2.31,17.43,15.14,22.15,32.22,8.32,3.89,61.79,97,6,2.55
Santa Cruz,cz,Jun,2011,1.23,15.2,15.26,22.37,30,9.43,6.67,77.58,98,35,1.59
Santa Cruz,cz,Jul,2011,1.07,8.49,18.54,26.84,33.89,12.01,10,73.77,97,12.6,0
Santa Cruz,cz,Aug,2011,0.86,8.05,18.82,27.54,34.44,11.77,8.33,71.35,96,17,0
Santa Cruz,cz,Sep,2011,0.75,14.31,17.89,26.39,39.44,11.72,7.78,74.36,97,10,0
Santa Cruz,cz,Oct,2011,0.84,14.75,16.95,26.45,38.89,10.34,6.11,66.01,96,5,1.2
Santa Cruz,cz,Nov,2011,1.12,15.65,12.71,20.71,29.44,6.82,2.22,66.05,96,2,3.35
Santa Cruz,cz,Dec,2011,0.69,14.75,9.99,20.02,26.67,3.48,0,59.37,94,1,1.18
Santa Cruz,cz,Jan,2012,0.99,17.43,12.5,22.19,30,5.34,-0.56,50.63,94,0,2.07
Santa Cruz,cz,Feb,2012,1.85,16.54,12.26,19.96,28.33,5.81,2.78,53.93,92,0,0.28
Santa Cruz,cz,Mar,2012,1.4,19.22,11.3,18.49,30.56,4.67,-10.72,62,99,0,2.07
Santa Cruz,cz,Apr,2012,1.68,18.33,13.79,19.74,27.78,9.37,3.33,64.77,99,9,2.42
Santa Cruz,cz,May,2012,2.07,20.12,19.07,22.24,32.22,13.01,8.89,56.94,99,0,0
Santa Cruz,cz,Jun,2012,1.52,14.31,17.99,20.92,26.67,13.11,10.56,65.05,99,21,0
Santa Cruz,cz,Jul,2012,0.96,12.52,18.93,26.64,35.56,12.66,9.44,73.34,100,22,0
Santa Cruz,cz,Aug,2012,0.64,11.62,21.03,29.59,34.44,13.89,8.33,69.73,100,11,0
Santa Cruz,cz,Sep,2012,0.52,7.6,20.37,29.28,37.22,13.57,9.44,70.99,100,15,0.04
Santa Cruz,cz,Oct,2012,1.31,15.2,18.67,26.84,40,12.26,6.67,65.02,100,8,0.82
Santa Cruz,cz,Nov,2012,0.97,14.31,14.94,21.82,33.89,9.87,5,71.7,100,5,2.83
Santa Cruz,cz,Dec,2012,1.02,15.2,11.51,17.12,25.56,6.76,0.56,81.62,100,20,2.84
Santa Cruz,cz,Jan,2013,1.47,16.09,11.45,18.32,27.22,5.72,0,58.54,100,7,1.34
Santa Cruz,cz,Feb,2013,1.32,16.99,11.37,18.83,26.67,5.02,1.67,66.34,100,9,0.36
Santa Cruz,cz,Mar,2013,1.29,17.88,13.79,21.31,28.89,7.97,5,39.19,100,9,1.18
Santa Cruz,cz,Apr,2013,2.09,20.12,15.27,21.72,29.44,9.61,5.56,66.41,100,12,0.03
Santa Cruz,cz,May,2013,1.99,16.54,18.08,25.19,38.89,11.11,6.67,61.92,100,4,0.06
Santa Cruz,cz,Jun,2013,1.22,15.65,18.12,25.11,34.44,12,8.33,72.77,100,16,0.05
Santa Cruz,cz,Jul,2013,1.24,12.96,18.78,26.09,36.67,13.28,9.44,74.94,99,10,0
Santa Cruz,cz,Aug,2013,1.14,8.94,18.8,26.97,36.11,12.44,9.44,71.47,99,20,0
Santa Cruz,cz,Sep,2013,1.26,14.31,20.2,28.26,34.44,13.44,10,60.55,98,13,0
Santa Cruz,cz,Oct,2013,1.29,16.99,15.95,23.49,32.78,9.78,6.67,65.64,98,7,0.08
Santa Cruz,cz,Nov,2013,1.28,12.07,14.37,21.87,31.67,8.59,5.56,64.1,99,8,0.99
Santa Cruz,cz,Dec,2013,1.56,16.09,12.42,20.29,28.89,6.2,0.56,48.71,99,4,0.11
Santa Cruz,cz,Jan,2014,1.33,15.65,15.25,22.97,28.89,8.83,4.44,48.34,97,5,0
Santa Cruz,cz,Feb,2014,1.41,15.2,13.74,20.16,29.44,8.59,3.33,68.13,100,10,4.5
Santa Cruz,cz,Mar,2014,1.85,18.33,15.05,21.33,31.67,9.34,6.67,66.07,100,10,1.94
Santa Cruz,cz,Apr,2014,2.07,16.99,15.96,23.18,32.78,9.35,4.44,62.06,100,5,0.12
Santa Cruz,cz,May,2014,2.3,17.88,19.66,26.47,37.78,12.46,8.33,51.74,100,5,0
Santa Cruz,cz,Jun,2014,1.43,13.41,17.73,25,30,11.67,8.89,74.11,99,37,0
Santa Cruz,cz,Jul,2014,1.33,11.18,20.78,27.78,35.56,14.94,12.22,72.36,98,27,0
Santa Cruz,cz,Aug,2014,1.17,16.54,20.31,27.85,36.67,14.21,11.11,71.92,98,6,0.02
Santa Cruz,cz,Sep,2014,1.54,12.96,21.28,29.5,41.67,14.67,10,65.05,97,9,0
Santa Cruz,cz,Oct,2014,1.04,11.62,19.09,27.08,38.33,12.85,10,67.47,98,4,0.67
Santa Cruz,cz,Nov,2014,1.25,14.75,16.48,23.93,31.67,10.43,6.67,54.1,97,6,0.03
Santa Cruz,cz,Dec,2014,1.42,16.99,13.62,18.8,26.67,9.41,2.22,74.31,98,19,7.25
Santa Cruz,cz,Jan,2015,0.89,14.75,13.77,21.29,27.78,8.23,1.67,65.12,98,10,0.97
Santa Cruz,cz,Feb,2015,1.19,14.75,14.56,21.37,30,9.14,4.44,71.86,98,10,1.28
Santa Cruz,cz,Mar,2015,1.35,15.2,16.91,24.81,32.78,10.23,5,58.85,97,7,0.64
Santa Cruz,cz,Apr,2015,1.86,16.09,16.31,23.65,32.22,8.94,5,51.73,96,7,0.05
Santa Cruz,cz,May,2015,2.3,12.96,14.87,20.68,27.22,9.98,7.78,68.45,96,23,0.05
Santa Cruz,cz,Jun,2015,1.26,8.49,17.87,24.91,32.22,13.71,10,73.08,96,22,0.94
Santa Cruz,cz,Jul,2015,1.02,6.71,17.17,19.95,26.11,15.63,12.78,80.28,93,41,0.03
Santa Cruz,cz,Aug,2015,1.38,12.96,21.79,27.56,37.22,15.43,11.67,68.11,100,20,0
Santa Cruz,cz,Sep,2015,1.04,10.73,22.19,30.63,37.78,15.57,11.11,65.46,100,8,0.06
Santa Cruz,cz,Oct,2015,1.43,15.2,21.16,28.92,39.44,15.14,11.11,63.33,100,10,0.39
Santa Cruz,cz,Nov,2015,1.92,16.99,15.24,22.37,33.33,9.24,2.78,49.68,97,6,0.11
Santa Cruz,cz,Dec,2015,2.08,18.33,12.51,18.76,29.44,7.58,1.67,58.04,98,10,0.67
Santa Cruz,cz,Jan,2016,1.78,21.46,12.69,18.08,24.44,8.12,3.89,73.73,100,16,3.42
Santa Cruz,cz,Feb,2016,1.59,22.8,16.88,25.14,31.67,9.88,3.33,45.36,99,7,0.58
Santa Cruz,cz,Mar,2016,2.13,19.22,15.17,21.11,28.89,9.87,5.56,66.02,100,20,3.34
Santa Cruz,cz,Apr,2016,2.33,20.56,16.57,23.56,31.11,10.65,6.67,58.94,98,11,0.64
Santa Cruz,cz,May,2016,1.63,13.41,15.21,21.17,24.44,10.25,7.78,74.99,98,37,0.18
Santa Cruz,cz,Jun,2016,1.22,12.07,18.81,26.32,41.67,12.71,9.44,70.58,99,12,0.08
Santa Cruz,cz,Jul,2016,1.16,10.28,20.51,28.14,41.11,13.87,11.67,68.58,97,10,0
Santa Cruz,cz,Aug,2016,1.19,9.83,19.66,27.12,32.22,13.87,11.11,71.46,97,25,0
Santa Cruz,cz,Sep,2016,1.22,17.43,19.76,27.39,39.44,13.35,8.33,62.18,97,6,0
Santa Cruz,cz,Oct,2016,1.4,15.2,18.02,25.16,33.89,11.86,8.89,62.17,98,6,0.77
Santa Cruz,cz,Nov,2016,1.42,15.65,16.21,24.32,32.22,10.24,4.44,57.27,100,11,1.8
Santa Cruz,cz,Dec,2016,1.6,17.43,12.69,18.69,26.11,8.12,1.11,65.83,100,8,2.51
